pid,question,response
547,colorblind,No
547,feedback,
547,strategy,went opposit when there was green and yellow combo
547,instructions,No
593,notes,No
593,colorblind,No
593,feedback,None
593,strategy,"For the first part, I quickly picked up on the relationship between bulbs that are next to each other. For the second part, I made similar predictions for bulbs that were next to each other but guessed randomly for bulbs that weren't next to each other."
593,instructions,No
303,notes,No
303,colorblind,No
303,feedback,
303,strategy,"Figuring out the pattern helped. Knowing that whatever yellow was, green was the opposite. "
303,instructions,no
338,notes,No
338,colorblind,No
338,feedback,
338,strategy,"I thought I could see a pattern of what pairings were always the same and what pairing was opposite, the yellow green. Using that, I could figure on or off regardless of how far apart they were in the line."
338,instructions,Nothing was unclear.
602,notes,No
602,colorblind,No
602,feedback,No problems.
602,strategy,"I remembered what colors turned on or off together and which did not, then was able to visualize that pattern in my mind to figure out how each would be impacted by one another."
602,instructions,No.
294,notes,No
294,colorblind,No
294,feedback,"No problems, study was engaging. "
294,strategy,"I used the location of the lights from the learning phase to make decisions in the second phase. Also, if the lights were not attached I didn't think their status affected a light not attached to it. "
294,instructions,Instructions were clear.
327,notes,No
327,colorblind,No
327,feedback,
327,strategy,I though it may be a switch being turned to one side then the other 2 bulbs left 3 bulbs right
327,instructions,no
508,notes,No
508,colorblind,No
508,feedback,
508,strategy,Just tried to remember the patterns.
508,instructions,No
402,notes,Yes
402,colorblind,No
402,feedback,
402,strategy,I looked for patterns and saw that every pair was the same except for yellow/green.  Those are the opposite.
402,instructions,No
580,notes,No
580,colorblind,No
580,feedback,
580,strategy,The fact that green and yellow cannot be on at the same time helped me to figure out that if green is on red is on. If yellow is on then blue and purple are on. 
580,instructions,No
376,notes,No
376,colorblind,No
376,feedback,
376,strategy,I just tried to see patterns and remember.
376,instructions,no
569,notes,No
569,colorblind,No
569,feedback,Thank you
569,strategy,I followed the same pattern in the learning portion
569,instructions,It was clear
410,notes,Yes
410,colorblind,No
410,feedback,
410,strategy,"I had to write down some of the combinations to avoid being on the training phase for too long. From there, once I got into the actual trials, I went by my memory of what I'd seen in the training phase, and answered as best I could."
410,instructions,"No, the instructions were clear."
254,notes,No
254,colorblind,No
254,feedback,"None, thank you. "
254,strategy,It took a long time for me to detect any sort of pattern and I'm still not sure I got it right. It seemed like green and yellow were opposites. 
254,instructions,Instructions were clear. 
278,notes,No
278,colorblind,No
278,feedback,none
278,strategy,"If the wire between two bulbs passed through a green or yellow bulb, depending on the light bulbs presented, then the setting would be opposite to the setting of the first bulb. "
278,instructions,none 
321,notes,No
321,colorblind,No
321,feedback,I did not have problems and it was an enjoyable study.
321,strategy,I tried to determine which two colors were opposite each other and got my answers from that.
321,instructions,No they were not.
497,notes,No
497,colorblind,No
497,feedback,long......
497,strategy,"I noticed that the yellow light did not seem to agree with the blue and green lights.  After the study it occurred to me that the yellow may have actually paired with the blue light and I forgot this.  So, I probably fudged this up.  "
497,instructions,"They were confusing.  Some lights may agree and some may not left me to look down the line at first.  Like what was the status of the other lights, did they agree with each other and how did it affect my scenario? "
394,notes,No
394,colorblind,No
394,feedback,N/A
394,strategy,"I remembered which pairs were together, and if it was two lights that weren't together, I had them do opposite things. "
394,instructions,No
549,notes,No
549,colorblind,No
549,feedback,
549,strategy,I based it off of the test 
549,instructions,no
347,notes,No
347,colorblind,No
347,feedback,Very interesting study
347,strategy,Just learned the rules of the lights
347,instructions,No
471,notes,No
471,colorblind,No
471,feedback,n/a
471,strategy,"In the learning phase, I figured out what lights that are next to each other work together or opposite of each other. The only ones that worked opposite of each other where green and yellow. Then in the last phase, I worked up or down starting with the light i knew about and decided whether the ones next to it were on or off, and kept going until I got to the color that was asked."
471,instructions,n/a
326,notes,No
326,colorblind,No
326,feedback,
326,strategy,I tried to remember patterns
326,instructions,No
627,notes,No
627,colorblind,No
627,feedback,"Nothing, everything was ok"
627,strategy,"First 2 lights affected each other, last 3 lights were linked. I had to mess around with some combination in the later half to make sure that It was correct or not"
627,instructions,"No, everything was fine"
